NDB_No,Shrt_Desc,Protein,Lipid_Tot,Carbohydrt,Fiber_TD,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vit_C,Thiamin,Riboflavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Choline_Tot,Vit_B12,Vit_A,Vit_E,Vit_D,Vit_K,FA_Sat
8661,"CEREALS RTE,KELLOGG'S CINN JACKS",10.53571429,10,63.84615385,23.68421053,2,201.25,10.75,13.71428571,4.558823529,30.06666667,49.09090909,0,0,0,60,111.6666667,116.1538462,111.8125,0,136.9230769,89.25,0,208.3333333,0,0,24,0,6.615384615
8662,"CEREALS RTE,POST,HONEY BUNCHES OF OATS,W/ REAL STRAWBERRIES",11.96428571,6.282051282,64.07692308,14.21052632,2.6,326.25,11.5,19.85714286,6.441176471,27.33333333,9.090909091,22.22222222,0,0,17.33333333,100,107.6923077,100.625,0,130.7692308,80.75,0,200,0,0,21.33333333,0,3.076923077
8663,"CEREALS RTE,KASHI ORGANIC PROMISE,BERRY FRUITFUL",19.10714286,1.666666667,58.61538462,27.63157895,2.9,37.5,26.5,34.57142857,9.176470588,0.333333333,20,0,0,0,0,26.66666667,7.692307692,28.75,0,19.23076923,0,0,0,0,4.466666667,0,0,1.025641026
8665,"CEREALS RTE,POST HONEY BUNCHES OF OATS W/ CINN BUNCHES",12.67857143,6.41025641,63.69230769,15.26315789,3.6,350,11.5,20.71428571,5.411764706,30.93333333,9.090909091,22.22222222,0,0,0.444444444,108.3333333,107.6923077,104.375,0,130.7692308,166.75,0,208.3333333,0,0,22,0,3.076923077
8666,"CEREALS RTE,GENERAL MILLS,CINN BURST CHEERIOS",11.25,7.807692308,64,24.73684211,31.3,316.125,12.5,17.85714286,9.647058824,25,106.2727273,0,0,0,52.11111111,100,99.23076923,97.5,0,120,156.25,0,195.4166667,0,0,20.66666667,0,3.58974359
8668,"CEREALS RTE,GENERAL MILLS,FIBER ONE,NUTTY CLUSTERS & ALMONDS",14.10714286,8.717948718,61.15384615,47.89473684,18.2,102.375,14.5,26,11.32352941,25.2,61.81818182,0,0,0,12.11111111,57.5,61.53846154,56.875,0,69.23076923,45.5,0,112.5,0,0,0,0,3.538461538
8669,"CEREALS RTE,GENERAL MILLS,FIBER ONE 80 CAL,CHOC SQUARES",5.875,3.717948718,64.61538462,92.63157895,133.3,187.5,13.25,38.14285714,10.32352941,26.66666667,113.6363636,0,0,0,22.22222222,107.5,106.9230769,104.375,0,127.6923077,83.25,0,208.3333333,0,0,22,0,4.564102564
8670,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS,MEDLEY CRUNCH",16.25,6.923076923,61.15384615,19.73684211,32.3,181.25,25.75,36.85714286,10.14705882,25.66666667,110,0,0,0,21.55555556,100,106.9230769,100.625,0,123.8461538,161.25,0,200,0,0,21.33333333,0,4.564102564
8671,"CEREALS RTE,GENERAL MILLS,DULCE DE LECHE CHEERIOS",11.60714286,7.294871795,63.07692308,19.21052632,37,416.125,14.75,31.71428571,8,33.93333333,126.2727273,0,0,0,61.77777778,115.8333333,123.0769231,115.625,0,142.3076923,185.25,0,232.9166667,0,0,24.66666667,0,5.128205128
8672,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS",6.25,4.705128205,67.83076923,6.578947368,26.7,300,7.5,12.14285714,5.382352941,24.53333333,90.90909091,0,0,0,17.77777778,83.33333333,86.15384615,83.25,0,102.3076923,133.25,0,166.6666667,0,0,22,0,8.205128205
8673,"CEREALS,RTE,MALT-O-MEAL,BLUEBERRY MINI SPOONERS",15.73214286,2.461538462,61.07692308,27.10526316,3.3,368.125,18.25,47.28571429,9.617647059,0.133333333,61.90909091,0,0,0,0,91.66666667,76.15384615,87.875,0,102.3076923,0,0,127.0833333,0,4.466666667,0,0,2.051282051
8674,"CEREALS RTE,MALT-O-MEAL,OAT BLENDERS W/ HONEY",12.10714286,5.346153846,65.33846154,13.15789474,2.3,337.5,6.75,19,5.882352941,34.33333333,113.6363636,0,0,0,22.22222222,104.1666667,108.4615385,104.1875,0,127.6923077,166.75,0,208.3333333,0,1.333333333,22,0.333333333,2.564102564
8675,"CEREALS RTE,MALT-O-MEAL,OAT BLENDERS W/ HONEY & ALMONDS",13.92857143,6.256410256,59.43076923,16.05263158,3.3,517.25,15.25,29.14285714,7.058823529,30.2,162.4545455,0,0,0,32.88888889,174.1666667,153.0769231,146.9375,0,206.9230769,166.75,0,314.5833333,0,9.133333333,24,0,3.179487179
8676,"CEREALS RTE,MALT-O-MEAL,HONEY NUT SCOOTERS",15.33928571,5.782051282,61.24615385,16.57894737,33.3,375,23,45.42857143,7.088235294,46.33333333,113.6363636,0,0,0,22.22222222,104.1666667,108.4615385,104.1875,0,127.6923077,166.75,0,208.3333333,0,0,22,0,3.230769231
8677,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS TOUCH FRUIT MDL,RASP",15.71428571,2.307692308,63.15384615,27.89473684,3.3,368.75,20.75,51.28571429,10.35294118,1.133333333,24.54545455,0,0,0,0,56.66666667,59.23076923,56.875,0,70,91,0,112.5,0,4.466666667,0,0,2.564102564
8678,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEX",8.375,8.269230769,63.69230769,5.263157895,32.3,362.5,6.5,18.42857143,4.764705882,40.93333333,110,0,0,0,21.55555556,100,106.9230769,100.625,0,123.8461538,161.25,0,200,0,0,21.33333333,0,0
8679,"CEREALS RTE,GENERAL MILLS,FRSTD TOAST CRUNCH",9.267857143,12.94871795,60.45384615,12.89473684,33.3,187.5,6.75,19,4.970588235,37.66666667,113.6363636,0,0,0,22.22222222,107.5,106.9230769,104.375,0,127.6923077,83.25,0,208.3333333,0,0,22,0,5.128205128
8680,"CEREALS,OATS,INST,FORT,MAPLE & BROWN SUGAR,DRY",16.51785714,6.064102564,58.97692308,18.94736842,25.8,129.5,22.5,43.57142857,10.61764706,33.66666667,15.63636364,26.66666667,99.86956522,30.54545455,0,89.08333333,77.07692308,73.36875,12.32,112.6153846,37,5.181818182,0,76.88888889,3.4,0,1.166666667,3.98974359
8681,"CEREALS RTE,CASCADIAN FARM,CINN CRUNCH",10.16071429,10.8974359,62.76153846,28.94736842,0,33.75,0,21.14285714,6.970588235,25.33333333,0,0,0,0,0,8.333333333,0,9.375,0,0,0,0,0,0,0,0,0,5.128205128
8682,"CEREALS RTE,GENERAL MILLS,MULTI GRAIN CHEERIOS,PNUT BUTTER",12.14285714,7.935897436,63.07692308,15.78947368,35.7,361.125,14.25,30.57142857,8.735294118,29.8,121.7272727,0,0,0,23.77777778,107.5,115.3846154,111.8125,0,136.9230769,178.5,0,225,0,0,24,0,4.564102564
8683,"CEREALS RTE,CASCADIAN FARM,MULTI-GRAIN SQUARES",16.76785714,2.423076923,63.84615385,19.73684211,0,33.75,0,0,10.55882353,23.93333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8684,"CEREALS RTE,CASCADIAN FARM,HONEY NUT O'S",14.82142857,4.217948718,63.91538462,22.36842105,6.7,30,13.25,28.57142857,7.352941176,38.13333333,9.090909091,0,0,0,0,16.66666667,0,8.0625,0,0,0,0,0,0,0,0,0,3.076923077
8685,"CEREALS RTE,QUAKER WHL HEARTS OAT CRL",13.625,7.192307692,61.61538462,23.94736842,0,401.375,19.25,46,16.70588235,36.93333333,108.0909091,0,0,0,79.22222222,198.1666667,103.6923077,99.09375,0,122,356.75,0,197.9166667,0,37.2,0,0,4.302564103
8686,"CEREALS,QUAKER,WT CONTROL INST OATMEAL,MAPLE & BROWN SUGAR",29.23214286,7.948717949,49.42307692,34.21052632,26.8,126.625,29,56,9.705882353,42.8,23.63636364,0,0,0,0.111111111,84.83333333,71.92307692,65.2875,0,81.23076923,58.75,0,0,0,3.733333333,0,0,5.933333333
8687,"CEREALS,QUAKER,WEIGHT CONTROL INST OATMEAL,BANANA BREAD",29.46428571,7.897435897,49.55384615,33.15789474,24.3,109.75,29.25,56.57142857,9.617647059,41.26666667,23.63636364,0,0,0,0.111111111,61.25,66.53846154,63.60625,0,78.30769231,51,0,0,0,3.666666667,0,0,6.092307692
8688,"CEREALS,QUAKER,INST OATMEAL,CINN SWIRL,HI FIBER",15.69642857,6.153846154,58.20769231,58.68421053,27.8,117.625,22.75,43.71428571,7.529411765,31.53333333,18.54545455,0,0,0,0.222222222,63.5,81.38461538,77.8,0,95.46153846,62.25,0,0,0,2.866666667,0,0,4.748717949
8689,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,BLUEBERRY HAZELNUT,DRY",17.51785714,12.56410256,53.43846154,20.26315789,6.4,38.5,24.5,41,9.323529412,22.46666667,19.54545455,0,0,0,3.111111111,29.33333333,8.846153846,9.73125,0,9.769230769,8.5,0,0,0,3,0,0,8.451282051
8690,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,APPL WALNUT,DRY",14.60714286,13.28205128,54.25384615,18.42105263,5.7,34.625,21.5,34.14285714,10.11764706,23.73333333,16.63636364,0,0,0,1,22.41666667,6.923076923,6.80625,0,11.38461538,5,0,0,0,2.4,0,0,6.671794872
8691,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,SMMR BERRY,DRY",20.19642857,5.641025641,55.83076923,22.36842105,12.4,39.125,28.25,51.14285714,13.08823529,23.6,23.27272727,0,0,0,10.44444444,31.5,16.53846154,10.54375,0,12.15384615,9.75,0,8.333333333,0,3.133333333,0,0,5.338461538
8692,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,PEACH ALMOND,DRY",18.03571429,12.61538462,52.77692308,19.47368421,10.5,35,28.75,43.14285714,16.47058824,13.4,19.81818182,0,0,0,17.88888889,24.41666667,14.46153846,11.6875,0,9.307692308,6.75,0,0,0,16.4,0,0,5.712820513
8693,"CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,CHERRY PISTACHIO,DRY",21.46428571,14.12820513,51.33076923,18.68421053,13.2,37.375,25.75,47.57142857,14.73529412,12.06666667,19.45454545,0,0,0,0.777777778,27.83333333,19.23076923,8.3125,0,17.76923077,5.5,0,8.75,0,3.333333333,0,0,7.112820513
8694,"CEREALS,QUAKER,INST OATMEAL,WEIGHT CONTROL,CINN",29.46428571,8.051282051,49.39230769,34.21052632,24.5,110.5,29.75,57.42857143,9.823529412,41.2,24.09090909,0,0,0,0.111111111,61.75,66.92307692,67.94375,0,78.84615385,51.25,0,0,0,3.733333333,0,0,6.18974359
8695,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD MINI-WHEATS,LITTLE BITES",16.41071429,2.179487179,64.15384615,28.42105263,3,361.125,19.25,49,10.91176471,0.133333333,24.54545455,0,0,0,0,55.83333333,57.69230769,55.5625,0,67.69230769,89.25,0,112.5,0,0,0,0,1.538461538
8696,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN,CINN ALMOND",13.21428571,3.717948718,62.45384615,24.21052632,4.7,97.5,26.5,36,13.20588235,24.86666667,24.54545455,0,0,0,2.222222222,53.33333333,56.15384615,53.75,0,66.15384615,43,0,125,0,0,12,0,2.051282051
8697,"CEREALS RTE,KASHI ORGANIC PROMISE,RAISIN VINEYARD",15.51785714,1.025641026,61.46153846,13.15789474,2.4,26.125,12.5,17,8.647058824,18.6,8.090909091,0,0,0,1.111111111,19.16666667,3.846153846,18.75,0,11.53846154,0.25,0,0,0,0,0,0,0.512820513
8699,"CEREALS RTE,KELLOGG'S KRAVE SMORES",13.03571429,13.96153846,58.76923077,24.73684211,5.7,181.25,8,13.85714286,7.205882353,22.8,45.45454545,0,0,0,53.33333333,100.8333333,105.3846154,100.625,0,123.8461538,80.75,0,208.3333333,0,0,22,0,12.30769231
8700,"CEREALS RTE,KELLOGG RAISIN BRAN W/ OMEGA-3 FROM FLAXSEED",13.03571429,3.205128205,63.60769231,25.26315789,3.9,106.25,24,33.57142857,7.705882353,23.66666667,25.36363636,0,0,0,2.222222222,58.33333333,61.53846154,58.6875,0,71.53846154,47.25,0,125,0,0,12.66666667,0,1.538461538
8701,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K MULTI-GRAIN",13.55357143,1.653846154,66.60769231,25.26315789,3.6,362.5,15.75,28.57142857,7.352941176,40.4,15.45454545,0,0,0,75.55555556,140.8333333,146.9230769,141.25,0,173.0769231,113,0,291.6666667,0,0,21.33333333,0,1.538461538
8702,"CEREALS,KELLOGG'S SPL K NOURISH,CINN RAISIN PECAN,DRY",25.17857143,13.32051282,47.61538462,24.21052632,38.5,129.875,28.75,61.57142857,9.588235294,19.66666667,17.18181818,0,0,0,25.55555556,47.5,49.23076923,48.0625,0,58.46153846,38.5,0,83.33333333,0,17.33333333,31.33333333,0,6.615384615
